timestep	time	potential_energy	pressure	temperature
990	3.616471	-178.273303	0.02618175327	0.0002108243112
1000	3.645077	-178.3475542	0.02618135281	0.00021420309
1010	3.695068	-178.2804713	0.02618130706	0.0002183471687
1020	3.724068	-178.3083742	0.02618187663	0.0002232262826
1030	3.753299	-178.3357388	0.02618302322	0.0002288164418
1040	3.779224	-178.3628278	0.02618470627	0.0002351001826
1050	3.805348	-178.3622781	0.0261869745	0.000242064262
1060	3.83126	-178.3149499	0.02618985401	0.0002497036477
1070	3.857588	-178.3626043	0.0261933774	0.0002580211779
1080	3.884655	-178.4324255	0.02619741517	0.0002670241184
1090	3.9111	-178.455251	0.02620196234	0.0002767304443
1100	3.94284	-178.4770032	0.02620705072	0.0002871674815
1110	3.986438	-178.4968896	0.02621284193	0.0002983696129
1120	4.01349	-178.5155816	0.02621907611	0.0003103836301
1130	4.040205	-178.5336346	0.02622577523	0.0003232671917
1140	4.06763	-178.454052	0.02623308539	0.0003370921354
1150	4.095736	-178.5140383	0.02624100944	0.0003519454931
1160	4.124557	-178.5493529	0.02624948744	0.0003679284858
1170	4.150887	-178.6777321	0.02625869805	0.0003851618059
1180	4.177007	-178.7080804	0.02626862205	0.000403789482
1190	4.203084	-178.7365975	0.02627904709	0.000423981291
1200	4.231486	-178.7399008	0.02629006789	0.0004459366855
1210	4.300234	-178.813108	0.02630187585	0.000469887722
1220	4.328212	-178.6429481	0.02631441922	0.0004961062948
1230	4.354295	-178.492187	0.02632799287	0.0005249111659
1240	4.380976	-178.4107859	0.02634243839	0.0005566714432
1250	4.409179	-178.3997903	0.02635760392	0.0005918162717
1260	4.435214	-178.3129858	0.02637363613	0.0006308409165
1270	4.461146	-178.4408303	0.02639091153	0.000674323436
1280	4.488612	-178.492991	0.026409437	0.0007229226408
1290	4.515295	-178.5404657	0.02642980582	0.0007774052486
1300	4.545008	-178.4648652	0.02645142653	0.000838662916
1310	4.589805	-178.5756111	0.02647484624	0.0009077315421
1320	4.616004	-178.6322793	0.02650008942	0.0009858107899
1330	4.641888	-178.541258	0.02652725136	0.001074302366
1340	4.667907	-178.4666391	0.02655646576	0.001174842002
1350	4.694032	-178.5048109	0.026588488	0.001289311086
1360	4.723603	-178.3191311	0.02662328612	0.001419905748
1370	4.75161	-178.2942946	0.02666140421	0.00156921435
1380	4.780196	-178.1574233	0.02670348264	0.001740247618
1390	4.808692	-177.8676364	0.02674997385	0.001936528091
1400	4.839559	-178.022151	0.02680216684	0.00216216803
1410	4.889255	-178.0120035	0.02686106957	0.002421867393
1420	4.916445	-177.9819451	0.02692704474	0.002721107286
1430	4.942527	-177.8146615	0.0270005142	0.003066247875
1440	4.968528	-177.7352237	0.02708253629	0.003464691521
1450	4.995794	-177.4645982	0.02717427754	0.003924932398
1460	5.023005	-177.3929306	0.02727744498	0.004456751781
1470	5.050017	-177.515593	0.02739517495	0.005071217026
1480	5.082182	-177.424479	0.02752898201	0.005780745228
1490	5.110874	-177.1289898	0.02768256212	0.0065991666
1500	5.141303	-176.7387491	0.0278575871	0.007541649519
1510	5.184865	-176.4601993	0.02805651185	0.008624287275
1520	5.211052	-175.9988697	0.02828355827	0.009863566617
1530	5.237506	-175.3091659	0.02854314035	0.01127569172
1540	5.263517	-174.7594161	0.02883646008	0.01287531309
1550	5.292754	-173.8348503	0.02916625106	0.01467359846
1560	5.320029	-172.5869971	0.02953824815	0.01667635038
